student_id,name,age,gender,grade_level,subject_name,teacher_name,difficulty_level,hours_per_week,description,month,score,sleep_hours,study_hours,attendance_rate,internet_access,free_time_activity,parent_education,homework_completion_rate,extracurricular_activities,family_size,previous_gpa,school_transport,health_condition,tutoring,admission_year,city,country,scholarship_status,exam_attempts,teacher_experience_years,parent_income,feedback_rating,efficiency,performance_level,final_state
1,alice johnson,16,female,grade 10,science,ms. fatima,hard,4,physics- chemistry- and biology fundamentals,10/1/2023,52,5.2,3.6,93,1,reading,high school,100,0,5,2.4,bus,normal,0,2020,cairo,egypt,0,2,2,2372,2.1,1.782,average,Need Help
1,alice johnson,16,female,grade 10,science,ms. fatima,hard,4,physics- chemistry- and biology fundamentals,11/1/2023,54,7.8,3.8,92,1,reading,high school,100,0,5,2.4,bus,normal,0,2020,cairo,egypt,0,3,2,2372,2.1,1.782,average,Need Help
1,alice johnson,16,female,grade 10,science,ms. fatima,hard,4,physics- chemistry- and biology fundamentals,12/1/2023,58,8.9,6.2,86,1,reading,high school,100,0,5,2.4,bus,normal,0,2020,cairo,egypt,0,2,2,2372,2.1,1.782,average,Need Help
2,bob smith,17,male,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,9/1/2023,87,8.2,1.8,86,1,sports,none,77,1,8,2.9,other,normal,0,2015,cairo,egypt,0,2,11,2010,1.7,0.115,excellent,High Performance
2,bob smith,17,male,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,10/1/2023,83.65,5.3,3.1,86,1,sports,none,89,1,8,2.9,other,normal,0,2015,cairo,egypt,0,3,11,2010,1.7,0.115,good,High Performance
2,bob smith,17,male,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,11/1/2023,81,5.1,5.1,87,1,sports,none,68,1,8,2.9,other,normal,0,2015,cairo,egypt,0,3,11,2010,1.7,0.115,good,High Performance
2,bob smith,17,male,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,12/1/2023,97,6.4,6.4,66,1,sports,none,82,1,8,2.9,other,normal,0,2015,cairo,egypt,0,2,11,2010,1.7,0.115,excellent,High Performance
2,bob smith,17,male,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,9/1/2023,75,7,3,72,1,sports,none,67,1,8,2.9,other,normal,0,2015,cairo,egypt,0,2,11,2010,1.7,0.115,good,High Performance
2,bob smith,17,male,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,10/1/2023,96,5.8,4.9,72,1,sports,none,100,1,8,2.9,other,normal,0,2015,cairo,egypt,0,1,11,2010,1.7,0.115,excellent,High Performance
2,bob smith,17,male,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,11/1/2023,93,7.2,3,66,1,sports,none,96,1,8,2.9,other,normal,0,2015,cairo,egypt,0,1,11,2010,1.7,0.115,excellent,High Performance
2,bob smith,17,male,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,12/1/2023,98,6,4.8,86,1,sports,none,80,1,8,2.9,other,normal,0,2015,cairo,egypt,0,3,11,2010,1.7,0.115,excellent,High Performance
2,bob smith,17,male,grade 10,history,ms. layla,medium,3,world and local history events,9/1/2023,84,8,3.3,81,1,sports,none,84,1,8,2.9,other,normal,0,2015,cairo,egypt,0,1,11,2010,1.7,0.115,good,High Performance
2,bob smith,17,male,grade 10,history,ms. layla,medium,3,world and local history events,10/1/2023,85,7.8,6.3,93,1,sports,none,82,1,8,2.9,other,normal,0,2015,cairo,egypt,0,1,11,2010,1.7,0.115,excellent,High Performance
2,bob smith,17,male,grade 10,history,ms. layla,medium,3,world and local history events,11/1/2023,80,5.7,2.3,100,1,sports,none,68,1,8,2.9,other,normal,0,2015,cairo,egypt,0,3,11,2010,1.7,0.115,good,High Performance
2,bob smith,17,male,grade 10,history,ms. layla,medium,3,world and local history events,12/1/2023,93,8.5,5,78,1,sports,none,87,1,8,2.9,other,normal,0,2015,cairo,egypt,0,1,11,2010,1.7,0.115,excellent,High Performance
2,bob smith,17,male,grade 10,math,mr. ahmed,medium,5,basic mathematics concepts and algebra,9/1/2023,76,8,4.2,68,1,sports,none,90,1,8,2.9,other,normal,0,2015,cairo,egypt,0,2,11,2010,1.7,0.115,good,High Performance
2,bob smith,17,male,grade 10,math,mr. ahmed,medium,5,basic mathematics concepts and algebra,10/1/2023,95,8.9,2.7,74,1,sports,none,91,1,8,2.9,other,normal,0,2015,cairo,egypt,0,2,11,2010,1.7,0.115,excellent,High Performance
2,bob smith,17,male,grade 10,math,mr. ahmed,medium,5,basic mathematics concepts and algebra,11/1/2023,83.65,6.5,4.7,72,1,sports,none,84,1,8,2.9,other,normal,0,2015,cairo,egypt,0,2,11,2010,1.7,0.115,good,High Performance
2,bob smith,17,male,grade 10,math,mr. ahmed,medium,5,basic mathematics concepts and algebra,12/1/2023,100,8.4,3.7,90,1,sports,none,92,1,8,2.9,other,normal,0,2015,cairo,egypt,0,1,11,2010,1.7,0.115,excellent,High Performance
2,bob smith,17,male,grade 10,science,ms. fatima,hard,4,physics- chemistry- and biology fundamentals,9/1/2023,66,7.8,6.3,76,1,sports,none,85,1,8,2.9,other,normal,0,2015,cairo,egypt,0,3,11,2010,1.7,0.115,average,Need Help
2,bob smith,17,male,grade 10,science,ms. fatima,hard,4,physics- chemistry- and biology fundamentals,10/1/2023,75,8.6,2.3,5,1,sports,none,87,1,8,2.9,other,normal,0,2015,cairo,egypt,0,2,11,2010,1.7,0.115,good,High Performance
2,bob smith,17,male,grade 10,science,ms. fatima,hard,4,physics- chemistry- and biology fundamentals,11/1/2023,82,5.1,6.4,71,1,sports,none,99,1,8,2.9,other,normal,0,2015,cairo,egypt,0,3,11,2010,1.7,0.115,good,High Performance
2,bob smith,17,male,grade 10,science,ms. fatima,hard,4,physics- chemistry- and biology fundamentals,12/1/2023,79,8.7,1.9,85,1,sports,none,82,1,8,2.9,other,normal,0,2015,cairo,egypt,0,2,11,2010,1.7,0.115,good,High Performance
3,carol davis,16,female,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,9/1/2023,100,7.3,2.7,90,0,gaming,postgrad,86,1,2,3.68,private car,normal,0,2015,alexandria,egypt,1,2,15,2104,1.7,1.079,excellent,High Performance
3,carol davis,16,female,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,10/1/2023,100,5.8,4.6,94,0,gaming,postgrad,83,1,2,3.68,private car,normal,0,2015,alexandria,egypt,1,2,15,2104,1.7,1.079,excellent,High Performance
3,carol davis,16,female,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,11/1/2023,83.65,7.4,3.2,85,0,gaming,postgrad,94,1,2,3.68,private car,normal,0,2015,alexandria,egypt,1,3,15,2104,1.7,1.079,good,High Performance
3,carol davis,16,female,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,12/1/2023,100,8.3,4.7,84,0,gaming,postgrad,99,1,2,3.68,private car,normal,0,2015,alexandria,egypt,1,1,15,2104,1.7,1.079,excellent,High Performance
3,carol davis,16,female,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,9/1/2023,100,7.6,1.7,80,0,gaming,postgrad,82,1,2,3.68,private car,normal,0,2015,alexandria,egypt,1,1,15,2104,1.7,1.079,excellent,High Performance
3,carol davis,16,female,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,10/1/2023,100,7,4.9,70,0,gaming,postgrad,88,1,2,3.68,private car,normal,0,2015,alexandria,egypt,1,2,15,2104,1.7,1.079,excellent,High Performance
3,carol davis,16,female,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,11/1/2023,100,8.9,2.7,89,0,gaming,postgrad,70,1,2,3.68,private car,normal,0,2015,alexandria,egypt,1,3,15,2104,1.7,1.079,excellent,High Performance
3,carol davis,16,female,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,12/1/2023,100,6.4,4.6,100,0,gaming,postgrad,87,1,2,3.68,private car,normal,0,2015,alexandria,egypt,1,3,15,2104,1.7,1.079,excellent,High Performance
3,carol davis,16,female,grade 10,history,ms. layla,medium,3,world and local history events,9/1/2023,100,5.6,4.3,99,0,gaming,postgrad,95,1,2,3.68,private car,normal,0,2015,alexandria,egypt,1,3,15,2104,1.7,1.079,excellent,High Performance
3,carol davis,16,female,grade 10,history,ms. layla,medium,3,world and local history events,10/1/2023,100,7,3.4,87,0,gaming,postgrad,67,1,2,3.68,private car,normal,0,2015,alexandria,egypt,1,2,15,2104,1.7,1.079,excellent,High Performance
3,carol davis,16,female,grade 10,history,ms. layla,medium,3,world and local history events,11/1/2023,100,6.2,1.3,83,0,gaming,postgrad,80,1,2,3.68,private car,normal,0,2015,alexandria,egypt,1,2,15,2104,1.7,1.079,excellent,High Performance
3,carol davis,16,female,grade 10,history,ms. layla,medium,3,world and local history events,12/1/2023,100,8.3,2.1,71,0,gaming,postgrad,89,1,2,3.68,private car,normal,0,2015,alexandria,egypt,1,2,15,2104,1.7,1.079,excellent,High Performance
3,carol davis,16,female,grade 10,math,mr. ahmed,medium,5,basic mathematics concepts and algebra,9/1/2023,100,8.3,3.1,99,0,gaming,postgrad,88,1,2,3.68,private car,normal,0,2015,alexandria,egypt,1,1,15,2104,1.7,1.079,excellent,High Performance
3,carol davis,16,female,grade 10,math,mr. ahmed,medium,5,basic mathematics concepts and algebra,10/1/2023,100,5.5,4,80,0,gaming,postgrad,99,1,2,3.68,private car,normal,0,2015,alexandria,egypt,1,3,15,2104,1.7,1.079,excellent,High Performance
3,carol davis,16,female,grade 10,math,mr. ahmed,medium,5,basic mathematics concepts and algebra,11/1/2023,100,5.3,1.6,99,0,gaming,postgrad,96,1,2,3.68,private car,normal,0,2015,alexandria,egypt,1,3,15,2104,1.7,1.079,excellent,High Performance
3,carol davis,16,female,grade 10,math,mr. ahmed,medium,5,basic mathematics concepts and algebra,12/1/2023,100,6.3,4.1,72,0,gaming,postgrad,80,1,2,3.68,private car,normal,0,2015,alexandria,egypt,1,2,15,2104,1.7,1.079,excellent,High Performance
3,carol davis,16,female,grade 10,science,ms. fatima,hard,4,physics- chemistry- and biology fundamentals,9/1/2023,100,6.8,2.3,87,0,gaming,postgrad,100,1,2,3.68,private car,normal,0,2015,alexandria,egypt,1,2,15,2104,1.7,1.079,excellent,High Performance
3,carol davis,16,female,grade 10,science,ms. fatima,hard,4,physics- chemistry- and biology fundamentals,10/1/2023,100,7.8,4.6,76,0,gaming,postgrad,89,1,2,3.68,private car,normal,0,2015,alexandria,egypt,1,1,15,2104,1.7,1.079,excellent,High Performance
3,carol davis,16,female,grade 10,science,ms. fatima,hard,4,physics- chemistry- and biology fundamentals,11/1/2023,100,5.4,1.4,79,0,gaming,postgrad,83,1,2,3.68,private car,normal,0,2015,alexandria,egypt,1,3,15,2104,1.7,1.079,excellent,High Performance
3,carol davis,16,female,grade 10,science,ms. fatima,hard,4,physics- chemistry- and biology fundamentals,12/1/2023,100,7.6,3.9,85,0,gaming,postgrad,88,1,2,3.68,private car,normal,0,2015,alexandria,egypt,1,1,15,2104,1.7,1.079,excellent,High Performance
4,david wilson,17,male,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,9/1/2023,82.4,7.4,2.9,83,1,tv/social media,none,100,1,7,3.34,bus,chronic,0,2019,giza,egypt,1,3,4,2108,2.8,1.28,good,High Performance
4,david wilson,17,male,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,10/1/2023,92.4,6,5.3,81,1,tv/social media,none,87,1,7,3.34,bus,chronic,0,2019,giza,egypt,1,3,4,2108,2.8,1.28,excellent,High Performance
4,david wilson,17,male,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,11/1/2023,87.4,4.3,4.4,89,1,tv/social media,none,74,1,7,3.34,bus,chronic,0,2019,giza,egypt,1,1,4,2108,2.8,1.28,excellent,High Performance
4,david wilson,17,male,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,12/1/2023,100,5.2,1.5,88,1,tv/social media,none,76,1,7,3.34,bus,chronic,0,2019,giza,egypt,1,3,4,2108,2.8,1.28,excellent,High Performance
4,david wilson,17,male,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,9/1/2023,79.4,5.8,4.4,79,1,tv/social media,none,85,1,7,3.34,bus,chronic,0,2019,giza,egypt,1,2,4,2108,2.8,1.28,good,High Performance
4,david wilson,17,male,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,10/1/2023,91.4,6.5,5.5,66,1,tv/social media,none,88,1,7,3.34,bus,chronic,0,2019,giza,egypt,1,3,4,2108,2.8,1.28,excellent,High Performance
4,david wilson,17,male,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,11/1/2023,98.4,6.3,5.1,90,1,tv/social media,none,96,1,7,2.89,bus,chronic,0,2019,giza,egypt,1,1,4,2108,2.8,1.28,excellent,High Performance
4,david wilson,17,male,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,12/1/2023,93.4,6.7,5.9,63,1,tv/social media,none,100,1,7,3.34,bus,chronic,0,2019,giza,egypt,1,2,4,2108,2.8,1.28,excellent,High Performance
4,david wilson,17,male,grade 10,history,ms. layla,medium,3,world and local history events,9/1/2023,76.4,6.8,2.6,92,1,tv/social media,none,79,1,7,3.34,bus,chronic,0,2019,giza,egypt,1,2,4,2108,2.8,1.28,good,High Performance
4,david wilson,17,male,grade 10,history,ms. layla,medium,3,world and local history events,10/1/2023,79.4,7.1,4.7,5,1,tv/social media,none,88,1,7,3.34,bus,chronic,0,2019,giza,egypt,1,3,4,2108,2.8,1.28,good,High Performance
4,david wilson,17,male,grade 10,history,ms. layla,medium,3,world and local history events,11/1/2023,90.4,5.2,4,76,1,tv/social media,none,100,1,7,3.34,bus,chronic,0,2019,giza,egypt,1,2,4,2108,2.8,1.28,excellent,High Performance
4,david wilson,17,male,grade 10,history,ms. layla,medium,3,world and local history events,12/1/2023,98.4,7.1,5.3,63,1,tv/social media,none,100,1,7,3.34,bus,chronic,0,2019,giza,egypt,1,1,4,2108,2.8,1.28,excellent,High Performance
4,david wilson,17,male,grade 10,math,mr. ahmed,medium,5,basic mathematics concepts and algebra,9/1/2023,78.4,7.9,2,64,1,tv/social media,none,90,1,7,3.34,bus,chronic,0,2019,giza,egypt,1,3,4,2108,2.8,1.28,good,High Performance
4,david wilson,17,male,grade 10,math,mr. ahmed,medium,5,basic mathematics concepts and algebra,10/1/2023,73.4,5.4,5.7,81,1,tv/social media,none,83,1,7,3.34,bus,chronic,0,2019,giza,egypt,1,1,4,2108,2.8,1.28,good,High Performance
4,david wilson,17,male,grade 10,math,mr. ahmed,medium,5,basic mathematics concepts and algebra,11/1/2023,91.4,7.3,3.2,80,1,tv/social media,none,80,1,7,3.34,bus,chronic,0,2019,giza,egypt,1,2,4,2108,2.8,1.28,excellent,High Performance
4,david wilson,17,male,grade 10,math,mr. ahmed,medium,5,basic mathematics concepts and algebra,12/1/2023,95.4,5.5,5.7,66,1,tv/social media,none,91,1,7,3.34,bus,chronic,0,2019,giza,egypt,1,1,4,2108,2.8,1.28,excellent,High Performance
4,david wilson,17,male,grade 10,science,ms. fatima,hard,4,physics- chemistry- and biology fundamentals,9/1/2023,57.4,5.5,2,75,1,tv/social media,none,65,1,7,3.34,bus,chronic,0,2019,giza,egypt,1,3,4,2108,2.8,1.28,average,High Performance
4,david wilson,17,male,grade 10,science,ms. fatima,hard,4,physics- chemistry- and biology fundamentals,10/1/2023,65.4,7.8,1.9,86,1,tv/social media,none,83,1,7,3.34,bus,chronic,0,2019,giza,egypt,1,3,4,2108,2.8,1.28,average,High Performance
4,david wilson,17,male,grade 10,science,ms. fatima,hard,4,physics- chemistry- and biology fundamentals,11/1/2023,77.4,6.1,4.4,68,1,tv/social media,none,89,1,7,3.34,bus,chronic,0,2019,giza,egypt,1,1,4,2108,2.8,1.28,good,High Performance
4,david wilson,17,male,grade 10,science,ms. fatima,hard,4,physics- chemistry- and biology fundamentals,12/1/2023,83.4,5.7,2,64,1,tv/social media,none,77,1,7,3.34,bus,chronic,0,2019,giza,egypt,1,2,4,2108,2.8,1.28,good,High Performance
5,eve brown,16,female,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,9/1/2023,83.65,5.6,3,83,1,music,none,89,0,8,3.21,walk,normal,1,2015,luxor,egypt,1,2,15,2179,2.6,1.968,good,High Performance
5,eve brown,16,female,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,10/1/2023,100,6.9,5.1,67,1,music,none,85,0,8,3.21,walk,normal,1,2015,luxor,egypt,1,1,15,2179,2.6,1.968,excellent,High Performance
5,eve brown,16,female,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,11/1/2023,100,7.7,2.6,88,1,music,none,99,0,8,3.21,walk,normal,1,2015,luxor,egypt,1,3,15,2179,2.6,1.968,excellent,High Performance
5,eve brown,16,female,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,12/1/2023,100,6.2,3,82,1,music,none,91,0,8,3.21,walk,normal,1,2015,luxor,egypt,1,1,15,2179,2.6,1.968,excellent,High Performance
5,eve brown,16,female,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,9/1/2023,100,6.4,2.9,84,1,music,none,87,0,8,3.21,walk,normal,1,2015,luxor,egypt,1,2,15,2179,2.6,1.968,excellent,High Performance
5,eve brown,16,female,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,10/1/2023,100,8.1,4.4,91,1,music,none,75,0,8,3.21,walk,normal,1,2015,luxor,egypt,1,3,15,2179,2.6,1.968,excellent,High Performance
5,eve brown,16,female,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,11/1/2023,100,5.5,2.9,94,1,music,none,83,0,8,3.21,walk,normal,1,2015,luxor,egypt,1,3,15,2179,2.6,1.968,excellent,High Performance
5,eve brown,16,female,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,12/1/2023,100,5.3,5,76,1,music,none,93,0,8,3.21,walk,normal,1,2015,luxor,egypt,1,1,15,2179,2.6,1.968,excellent,High Performance
5,eve brown,16,female,grade 10,history,ms. layla,medium,3,world and local history events,9/1/2023,97.1,6.2,3.6,65,1,music,none,100,0,8,3.21,walk,normal,1,2015,luxor,egypt,1,2,15,2179,2.6,1.968,excellent,High Performance
5,eve brown,16,female,grade 10,history,ms. layla,medium,3,world and local history events,10/1/2023,100,5.3,4,75,1,music,none,89,0,8,3.21,walk,normal,1,2015,luxor,egypt,1,2,15,2179,2.6,1.968,excellent,High Performance
5,eve brown,16,female,grade 10,history,ms. layla,medium,3,world and local history events,11/1/2023,100,8,5.4,76,1,music,none,71,0,8,3.21,walk,normal,1,2015,luxor,egypt,1,3,15,2179,2.6,1.968,excellent,High Performance
5,eve brown,16,female,grade 10,history,ms. layla,medium,3,world and local history events,12/1/2023,100,6.3,6.9,82,1,music,none,91,0,8,3.21,walk,normal,1,2015,luxor,egypt,1,3,15,2179,2.6,1.968,excellent,High Performance
5,eve brown,16,female,grade 10,math,mr. ahmed,medium,5,basic mathematics concepts and algebra,9/1/2023,98.1,8,6.9,93,1,music,none,94,0,8,3.21,walk,normal,1,2015,luxor,egypt,1,2,15,2179,2.6,1.968,excellent,High Performance
5,eve brown,16,female,grade 10,math,mr. ahmed,medium,5,basic mathematics concepts and algebra,10/1/2023,100,7.3,3.1,70,1,music,none,100,0,8,3.21,walk,normal,1,2015,luxor,egypt,1,2,15,2179,2.6,1.968,excellent,High Performance
5,eve brown,16,female,grade 10,math,mr. ahmed,medium,5,basic mathematics concepts and algebra,11/1/2023,100,7.1,4.8,95,1,music,none,89,0,8,3.21,walk,normal,1,2015,luxor,egypt,1,1,15,2179,2.6,1.968,excellent,High Performance
5,eve brown,16,female,grade 10,math,mr. ahmed,medium,5,basic mathematics concepts and algebra,12/1/2023,100,5.2,3.3,74,1,music,none,83,0,8,3.21,walk,normal,1,2015,luxor,egypt,1,2,15,2179,2.6,1.968,excellent,High Performance
5,eve brown,16,female,grade 10,science,ms. fatima,hard,4,physics- chemistry- and biology fundamentals,9/1/2023,90.1,6,5.9,69,1,music,none,82,0,8,3.21,walk,normal,1,2015,luxor,egypt,1,1,15,2179,2.6,1.968,excellent,High Performance
5,eve brown,16,female,grade 10,science,ms. fatima,hard,4,physics- chemistry- and biology fundamentals,10/1/2023,100,7.7,2.4,82,1,music,none,96,0,8,3.21,walk,normal,1,2015,luxor,egypt,1,1,15,2179,2.6,1.968,excellent,High Performance
5,eve brown,16,female,grade 10,science,ms. fatima,hard,4,physics- chemistry- and biology fundamentals,11/1/2023,100,6.3,4.5,78,1,music,none,100,0,8,3.21,walk,normal,1,2015,luxor,egypt,1,2,15,2179,2.6,1.968,excellent,High Performance
5,eve brown,16,female,grade 10,science,ms. fatima,hard,4,physics- chemistry- and biology fundamentals,12/1/2023,100,8.7,5.7,71,1,music,none,88,0,8,3.21,walk,normal,1,2015,luxor,egypt,1,1,15,2179,2.6,1.968,excellent,High Performance
6,frank miller,17,male,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,9/1/2023,65.9,6,3.5,95,1,sports,high school,89,0,5,2.59,walk,normal,0,2017,alexandria,egypt,1,3,4,2117,2.1,1.886,average,Need Help
6,frank miller,17,male,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,10/1/2023,71.9,6.4,2.3,91,1,sports,high school,88,0,5,2.59,walk,normal,0,2017,alexandria,egypt,1,1,4,2117,2.1,1.886,good,High Performance
6,frank miller,17,male,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,11/1/2023,66.9,7.1,6.3,76,1,sports,high school,83,0,5,2.59,walk,normal,0,2017,alexandria,egypt,1,2,4,2117,2.1,1.886,average,Need Help
6,frank miller,17,male,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,12/1/2023,79.9,6.9,6.8,91,1,sports,high school,97,0,5,2.59,walk,normal,0,2017,alexandria,egypt,1,3,4,2117,2.1,1.886,good,High Performance
6,frank miller,17,male,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,9/1/2023,52.9,5.5,2.8,96,1,sports,high school,80,0,5,2.59,walk,normal,0,2017,alexandria,egypt,1,3,4,2117,2.1,1.886,average,Need Help
6,frank miller,17,male,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,10/1/2023,83.65,6.8,2.7,87,1,sports,high school,86,0,5,2.59,walk,normal,0,2017,alexandria,egypt,1,2,4,2117,2.1,1.886,good,High Performance
6,frank miller,17,male,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,11/1/2023,73.9,5.8,6.7,76,1,sports,high school,100,0,5,2.59,walk,normal,0,2017,alexandria,egypt,1,3,4,2117,2.1,1.886,good,High Performance
6,frank miller,17,male,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,12/1/2023,83.9,7.5,7,94,1,sports,high school,100,0,5,2.59,walk,normal,0,2017,alexandria,egypt,1,1,4,2117,2.1,1.886,good,High Performance
6,frank miller,17,male,grade 10,history,ms. layla,medium,3,world and local history events,9/1/2023,100,6.9,4,89,1,sports,high school,88,0,5,2.59,walk,normal,0,2017,alexandria,egypt,1,1,4,2117,2.1,1.886,excellent,High Performance
6,frank miller,17,male,grade 10,history,ms. layla,medium,3,world and local history events,10/1/2023,60.9,7.1,2.3,82,1,sports,high school,88,0,5,2.59,walk,normal,0,2017,alexandria,egypt,1,1,4,2117,2.1,1.886,average,Need Help
