Student_ID,First_Name,Last_Name,Subject,Attendance (%),date,performance
S1043,Liam,Williams,Engineering,79.62,9/3/2024,Medium
S1044,Maria,Smith,Business,87.94,9/3/2024,Medium
S1045,Maria,Brown,CS,59.54,9/3/2024,Medium
S1047,Omar,Jones,Business,90.71,9/3/2024,Medium
S1048,Emma,Smith,Engineering,88.41,9/3/2024,Medium
S1049,Emma,Jones,Engineering,90.15,9/3/2024,Medium
S1050,Omar,Jones,Engineering,93.97,9/4/2024,Medium
S1051,Emma,Jones,Engineering,96.88,9/4/2024,Medium
S1052,John,Brown,CS,70.28,9/4/2024,High
S1053,Maria,Smith,Business,78.44,9/4/2024,Medium
S1054,Omar,Smith,Business,89.53,9/4/2024,High
S1057,Ali,Johnson,CS,50.68,9/4/2024,Medium
S1058,John,Smith,Mathematics,67.76,9/4/2024,High
S1059,Ahmed,Johnson,Business,64.05,9/4/2024,High
S1061,Omar,Davis,Business,61.13,9/4/2024,High
S1062,Ahmed,Brown,Engineering,85.46,9/4/2024,Medium
S1063,Ali,Davis,CS,54.24,9/4/2024,High
S1064,Omar,Davis,CS,87.08,9/4/2024,Medium
S1065,Sara,Williams,CS,84.67,9/4/2024,High
S1066,Maria,Williams,Mathematics,62.54,9/5/2024,Medium
S1068,Maria,Davis,CS,81.44,9/5/2024,Medium
S1069,Emma,Brown,Mathematics,88.11,9/5/2024,High
S1071,Sara,Jones,Engineering,92.61,9/5/2024,High
S1072,Ali,Johnson,Business,98.24,9/5/2024,Medium
S1073,Sara,Jones,Mathematics,79.07,9/5/2024,Medium
S1074,Ahmed,Jones,CS,95.43,9/5/2024,Medium
S1075,Sara,Williams,Business,90.43,9/5/2024,High
S1076,Maria,Williams,Mathematics,94.73,9/5/2024,Medium
S1077,Maria,Davis,Business,50.58,9/5/2024,Medium
S1078,Omar,Johnson,Business,98.3,9/5/2024,Medium
S1079,Maria,Smith,Engineering,73.68,9/5/2024,Medium
S1081,Maria,Johnson,Mathematics,56.36,9/5/2024,Medium
S1082,Ahmed,Brown,Business,69.8,9/6/2024,High
S1083,Liam,Davis,Mathematics,63.57,9/6/2024,Medium
S1084,Omar,Brown,Business,64.58,9/6/2024,Medium
S1085,John,Johnson,CS,56.16,9/6/2024,Medium
S1086,Emma,Johnson,Engineering,90.29,9/6/2024,Medium
S1087,Ali,Johnson,CS,50.46,9/6/2024,Medium
S1088,Maria,Jones,Engineering,65.63,9/6/2024,Medium
S1089,Sara,Brown,Mathematics,58.72,9/6/2024,High
S1090,Liam,Johnson,Engineering,79.45,9/6/2024,Medium
S1091,Maria,Williams,Business,62.71,9/6/2024,High
S1092,Sara,Davis,Business,62.95,9/6/2024,Medium
S1093,Emma,Davis,CS,74.42,9/6/2024,Medium
S1094,Emma,Williams,Engineering,82.63,9/6/2024,High
S1097,Maria,Jones,Business,62.36,9/7/2024,Medium
S1098,Emma,Smith,Mathematics,98.69,9/7/2024,High
S1099,Ahmed,Smith,Business,69.86,9/7/2024,Medium
S1100,Omar,Smith,Business,79.95,9/7/2024,Medium
S1101,Sara,Davis,Business,62.08,9/7/2024,High
S1102,Sara,Jones,CS,74.52,9/7/2024,Medium
S1104,Sara,Jones,Business,51.74,9/7/2024,Medium
S1105,Sara,Williams,Business,73.44,9/7/2024,Medium
S1106,Emma,Jones,Business,69.93,9/7/2024,High
S1107,Maria,Williams,Mathematics,56.84,9/7/2024,Medium
S1108,Emma,Smith,Business,84.38,9/7/2024,Medium
S1109,Omar,Smith,Business,99.65,9/7/2024,Medium
S1110,Liam,Davis,Engineering,69.78,9/7/2024,Medium
S1111,Omar,Smith,Engineering,81.23,9/7/2024,Medium
S1112,Liam,Davis,Engineering,98.15,9/8/2024,Medium
S1113,Emma,Johnson,Engineering,91.58,9/8/2024,High
S1114,Omar,Johnson,Business,73.18,9/8/2024,High
S1115,Maria,Brown,Engineering,86.87,9/8/2024,Medium
S1116,Ali,Davis,Mathematics,56.41,9/8/2024,High
S1118,Liam,Brown,Engineering,63.95,9/8/2024,High
S1122,Sara,Brown,Engineering,84.95,9/8/2024,High
S1123,Omar,Davis,Engineering,72.81,9/8/2024,Medium
S1125,Liam,Jones,Mathematics,57.32,9/8/2024,Medium
S1126,Sara,Davis,Engineering,56.99,9/8/2024,High
S1127,Ali,Davis,Engineering,79.17,9/8/2024,Medium
S1128,Maria,Brown,Business,99.25,9/8/2024,Medium
S1131,Ahmed,Johnson,Business,93.47,9/8/2024,High
S1132,Ali,Brown,Engineering,53.61,9/9/2024,High
S1133,Ahmed,Davis,CS,93.79,9/9/2024,High
S1134,Omar,Johnson,CS,76.21,9/9/2024,Medium
S1135,Ahmed,Johnson,Engineering,70.41,9/9/2024,Medium
S1136,Ali,Johnson,Mathematics,65.48,9/9/2024,Medium
S1137,Ali,Williams,CS,64.86,9/9/2024,Medium
S1138,Omar,Smith,Business,65.29,9/9/2024,Medium
S1139,Ali,Brown,Engineering,94.24,9/9/2024,Medium
S1140,Liam,Smith,Business,86.19,9/9/2024,High
S1141,Ali,Smith,CS,83.49,9/9/2024,Medium
S1142,Maria,Smith,Mathematics,89.94,9/9/2024,Medium
S1144,Liam,Jones,CS,80.9,9/9/2024,Medium
S1145,Omar,Johnson,CS,73,9/9/2024,Medium
S1147,John,Davis,Business,65.46,9/10/2024,Medium
S1148,Ali,Davis,CS,82.16,9/10/2024,High
S1149,Liam,Smith,Engineering,94.11,9/10/2024,Medium
S1150,John,Johnson,CS,70.11,9/10/2024,Medium
S1151,John,Smith,Engineering,53.33,9/10/2024,Medium
S1153,John,Jones,Engineering,67.3,9/10/2024,Medium
S1154,Ahmed,Brown,Mathematics,83.61,9/10/2024,Medium
S1157,Sara,Brown,Mathematics,73.31,9/10/2024,Medium
S1158,Ali,Williams,Engineering,82.73,9/10/2024,Medium
S1159,Maria,Smith,Business,55.17,9/10/2024,High
S1160,Omar,Smith,Mathematics,62.68,9/10/2024,Medium
S1162,Liam,Williams,Mathematics,83.5,9/10/2024,High
S1163,Maria,Smith,CS,50.67,9/10/2024,Medium
S1164,Sara,Williams,Engineering,60.23,9/11/2024,Medium
S1165,Ali,Johnson,CS,84.14,9/11/2024,Medium
S1166,Liam,Brown,Mathematics,88.22,9/11/2024,High
S1167,Omar,Brown,Mathematics,91.99,9/11/2024,High
S1169,Emma,Johnson,Engineering,96.55,9/11/2024,High
S1170,Liam,Williams,CS,77.65,9/11/2024,High
S1171,Ahmed,Jones,Business,84.83,9/11/2024,Medium
S1172,John,Williams,Mathematics,79.84,9/11/2024,Medium
S1173,Maria,Smith,Mathematics,56.14,9/11/2024,High
S1174,Liam,Davis,Business,98.16,9/11/2024,Medium
S1175,Emma,Brown,CS,56.14,9/11/2024,High
S1177,John,Jones,Mathematics,90.68,9/11/2024,Medium
S1178,Ali,Smith,Engineering,80.93,9/11/2024,Medium
S1179,John,Johnson,Business,91.91,9/12/2024,Medium
S1180,Ahmed,Johnson,Mathematics,75.79,9/12/2024,Medium
S1182,Emma,Smith,Engineering,96.09,9/12/2024,High
S1183,John,Brown,Business,51.81,9/12/2024,High
S1185,Ahmed,Smith,Mathematics,61.54,9/12/2024,Medium
S1186,Sara,Johnson,Business,92.44,9/12/2024,High
S1187,Omar,Jones,Business,56.96,9/12/2024,High
S1189,Emma,Williams,Business,94.41,9/12/2024,Medium
S1190,Omar,Jones,CS,73.68,9/12/2024,Medium
S1192,Ali,Smith,Engineering,90.23,9/12/2024,High
S1193,Omar,Brown,CS,86.82,9/12/2024,Medium
S1194,Omar,Williams,Engineering,96.27,9/12/2024,Medium
S1195,Sara,Smith,Business,72.34,9/12/2024,High
S1196,Sara,Brown,CS,58.66,9/13/2024,Medium
S1197,Maria,Smith,Mathematics,52.39,9/13/2024,Medium
S1198,Ahmed,Davis,CS,62.32,9/13/2024,Medium
S1200,Omar,Jones,CS,77.9,9/13/2024,Medium
S1201,Liam,Brown,Engineering,59.25,9/13/2024,Medium
S1202,Omar,Williams,Engineering,51.95,9/13/2024,High
S1203,Ali,Williams,Business,51.8,9/13/2024,Medium
S1204,Maria,Brown,Business,91.58,9/13/2024,Medium
S1205,Ahmed,Jones,Business,79.57,9/13/2024,Medium
S1206,Liam,Johnson,Business,67.9,9/13/2024,Medium
S1207,Maria,Smith,CS,94.71,9/13/2024,Medium
S1208,Emma,Jones,Engineering,53.51,9/13/2024,Medium
S1209,Ahmed,Davis,Engineering,99.02,9/13/2024,Medium
S1210,Omar,Brown,Engineering,80.81,9/13/2024,Medium
S1212,Ahmed,Williams,Business,83.95,9/14/2024,Medium
S1213,Omar,Johnson,CS,88.17,9/14/2024,Medium
S1214,John,Davis,Engineering,71.47,9/14/2024,Medium
S1215,Ahmed,Williams,Mathematics,93.08,9/14/2024,Medium
S1217,Ahmed,Smith,Mathematics,63.94,9/14/2024,High
S1218,Liam,Brown,CS,54.67,9/14/2024,Medium
S1220,John,Jones,CS,61.94,9/14/2024,Medium
S1221,John,Johnson,Mathematics,95.88,9/14/2024,High
S1222,Emma,Jones,Engineering,53.91,9/14/2024,Medium
S1223,Maria,Jones,Engineering,71.37,9/14/2024,Medium
S1224,Sara,Brown,Mathematics,76.62,9/14/2024,High
S1225,Sara,Johnson,Engineering,94.93,9/14/2024,High
S1226,Ahmed,Smith,Business,99.88,9/14/2024,High
S1227,Emma,Smith,Engineering,87.67,9/15/2024,High
S1229,Ahmed,Williams,Business,89.36,9/15/2024,Medium
S1230,Emma,Davis,Business,98.16,9/15/2024,Medium
S1231,Maria,Davis,Mathematics,85.36,9/15/2024,High
S1233,Maria,Brown,Engineering,70.1,9/15/2024,Medium
S1234,Maria,Jones,Mathematics,82.33,9/15/2024,High
S1235,Maria,Jones,Mathematics,67.54,9/15/2024,High
S1237,Emma,Johnson,Mathematics,78.87,9/15/2024,Medium
S1239,Liam,Brown,Business,51.75,9/15/2024,Medium
S1240,Sara,Johnson,Mathematics,88.46,9/15/2024,High
S1241,Omar,Williams,Business,86.14,9/15/2024,High
S1243,Ali,Davis,Business,96.54,9/15/2024,Medium
S1244,Omar,Brown,Business,88.11,9/15/2024,Medium
S1245,Emma,Brown,Mathematics,76.02,9/16/2024,Medium
S1246,Ali,Jones,Engineering,60.21,9/16/2024,Medium
S1247,Ali,Brown,CS,77.26,9/16/2024,Medium
S1249,John,Davis,CS,94.78,9/16/2024,High
S1251,Ali,Brown,CS,59.76,9/16/2024,Medium
S1253,Ahmed,Brown,Engineering,66.61,9/16/2024,Medium
S1254,Ali,Williams,CS,50.46,9/16/2024,Medium
S1256,Omar,Jones,Mathematics,55.66,9/16/2024,Medium
S1257,Emma,Smith,Business,92.14,9/16/2024,Medium
S1260,Ali,Davis,Mathematics,98,9/16/2024,Medium
S1262,Ahmed,Jones,Mathematics,50.48,9/16/2024,Medium
S1263,Ali,Brown,Business,64.19,9/16/2024,Medium
S1264,John,Jones,Business,55.96,9/16/2024,Medium
S1265,Sara,Johnson,Business,55.14,9/17/2024,Medium
S1266,Maria,Davis,Business,53.87,9/17/2024,Medium
S1267,Liam,Jones,Business,79.66,9/17/2024,Medium
S1268,Omar,Jones,Business,59.47,9/17/2024,Medium
S1270,Emma,Johnson,Engineering,93.1,9/17/2024,High
S1271,Liam,Davis,Engineering,71.22,9/17/2024,High
S1272,Liam,Smith,Business,95.78,9/17/2024,Medium
S1273,Liam,Brown,Engineering,74.9,9/17/2024,Medium
S1274,Ali,Davis,Engineering,69.94,9/17/2024,Medium
S1275,Maria,Johnson,Mathematics,87.52,9/17/2024,High
S1276,Ali,Williams,Business,53.66,9/17/2024,Medium
S1277,Emma,Smith,Business,54.47,9/17/2024,Medium
S1279,Sara,Davis,Business,74.35,9/17/2024,High
S1280,Maria,Smith,Business,89.52,9/18/2024,Medium
S1281,Maria,Brown,Business,95.81,9/18/2024,Medium
S1282,Emma,Davis,Business,69.42,9/18/2024,Medium
S1283,Omar,Brown,Engineering,79.82,9/18/2024,High
S1286,Ali,Smith,Mathematics,91.55,9/18/2024,Medium
S1287,Ahmed,Brown,CS,95.59,9/18/2024,High
S1289,Liam,Brown,CS,88.63,9/18/2024,Medium
S1290,Ali,Johnson,Engineering,63.27,9/18/2024,Medium
S1291,John,Davis,Mathematics,60.44,9/18/2024,Medium
S1292,Ali,Smith,Engineering,97.21,9/18/2024,Medium
S1294,Sara,Brown,Engineering,98.27,9/18/2024,Medium
S1296,Emma,Brown,Engineering,90.97,9/18/2024,Medium
S1298,Ahmed,Brown,Engineering,67.54,9/18/2024,High
S1299,Liam,Williams,Mathematics,60.84,9/19/2024,High
S1300,Ali,Davis,Mathematics,79.28,9/19/2024,Medium
S1301,Ali,Jones,Mathematics,67.4,9/19/2024,High
S1302,John,Johnson,CS,82.87,9/19/2024,Medium
S1303,Emma,Williams,Engineering,50.78,9/19/2024,Medium
S1304,Sara,Davis,Engineering,53.22,9/19/2024,Medium
S1305,Ahmed,Smith,Business,54.98,9/19/2024,High
S1306,Maria,Johnson,CS,70.95,9/19/2024,High
S1307,Sara,Jones,Mathematics,90.74,9/19/2024,Medium
S1308,Liam,Davis,Mathematics,94.41,9/19/2024,Medium
S1309,Emma,Jones,Engineering,62.24,9/19/2024,Medium
S1310,Liam,Smith,Mathematics,78.72,9/19/2024,Medium
S1311,Omar,Smith,Engineering,88.42,9/19/2024,Medium
S1312,Maria,Johnson,Engineering,64.44,9/19/2024,Medium
S1313,Omar,Brown,Business,70.45,9/20/2024,Medium
S1314,John,Smith,CS,76.2,9/20/2024,High
S1315,Liam,Davis,Engineering,56.74,9/20/2024,Medium
S1317,Ali,Williams,Engineering,57.64,9/20/2024,Medium
S1318,Omar,Jones,Business,81.34,9/20/2024,Medium
S1319,Emma,Brown,Engineering,53.68,9/20/2024,Medium
S1320,Liam,Jones,CS,59.48,9/20/2024,Medium
S1321,Ahmed,Brown,CS,66.89,9/20/2024,Medium
S1322,Maria,Williams,Mathematics,53.89,9/20/2024,Medium
S1323,Sara,Smith,CS,59.58,9/20/2024,Medium
S1324,Emma,Williams,Mathematics,95.56,9/20/2024,Medium
S1325,Emma,Smith,CS,50.96,9/20/2024,Medium
S1326,John,Smith,Mathematics,82.67,9/20/2024,Medium
S1327,Omar,Jones,Engineering,69.22,9/21/2024,Medium
S1329,Liam,Williams,Business,79.43,9/21/2024,High
S1331,Ali,Williams,Engineering,92.36,9/21/2024,High
S1332,Maria,Jones,Business,74.6,9/21/2024,High
S1333,John,Smith,CS,91.13,9/21/2024,Medium
S1334,Emma,Jones,Mathematics,70.3,9/21/2024,Medium
S1335,Liam,Johnson,Engineering,99.23,9/21/2024,Medium
S1336,Ahmed,Johnson,Business,88.52,9/21/2024,Medium
S1337,John,Brown,CS,98.3,9/21/2024,Medium
S1338,Maria,Jones,CS,75.72,9/21/2024,High
S1339,Maria,Brown,Engineering,73.68,9/21/2024,Medium
S1340,John,Brown,Engineering,87.77,9/21/2024,Medium
S1342,John,Brown,Mathematics,98.21,9/21/2024,Medium
S1344,John,Smith,Business,89.94,9/22/2024,High
S1345,Omar,Jones,Engineering,60.53,9/22/2024,Medium
S1346,John,Brown,Business,77.28,9/22/2024,High
S1347,Maria,Johnson,Business,58.99,9/22/2024,Medium
S1348,Liam,Williams,Mathematics,67.37,9/22/2024,Medium
S1349,Omar,Brown,CS,96.57,9/22/2024,Medium
S1350,Maria,Davis,CS,57.3,9/22/2024,High
S1351,Ali,Smith,Mathematics,81.62,9/22/2024,Medium
S1353,Liam,Williams,Business,56.04,9/22/2024,Medium
S1355,Omar,Brown,Mathematics,78.15,9/22/2024,Medium
S1357,Liam,Smith,CS,90.03,9/22/2024,Medium
S1358,Ali,Johnson,Engineering,98.61,9/22/2024,Medium
S1359,John,Smith,Business,60.74,9/22/2024,Medium
S1360,Maria,Johnson,Mathematics,59.35,9/23/2024,High
S1362,Ali,Jones,CS,87.39,9/23/2024,Medium
S1363,Sara,Williams,Engineering,64.08,9/23/2024,High
S1364,Omar,Williams,CS,50.99,9/23/2024,Medium
S1366,Emma,Jones,Engineering,97.83,9/23/2024,Medium
S1367,Sara,Brown,CS,69.56,9/23/2024,Medium
S1368,John,Brown,Business,71.01,9/23/2024,High
S1369,Omar,Williams,CS,98.45,9/23/2024,Medium
S1371,Liam,Smith,Engineering,85.96,9/23/2024,High
S1372,Sara,Smith,Engineering,78.14,9/23/2024,High
S1373,Liam,Brown,Engineering,98.73,9/23/2024,High
S1374,Ali,Davis,Mathematics,84.44,9/23/2024,Medium
S1375,Maria,Davis,Engineering,94.75,9/23/2024,Medium
S1376,Maria,Brown,Mathematics,84.97,9/24/2024,High
S1377,Ali,Smith,Engineering,86.76,9/24/2024,High
S1378,Sara,Smith,CS,64.52,9/24/2024,High
S1380,Liam,Johnson,CS,89.15,9/24/2024,Medium
S1381,Emma,Johnson,CS,64.84,9/24/2024,High
S1382,Maria,Smith,Mathematics,78.14,9/24/2024,High
S1383,Ahmed,Johnson,Business,62.47,9/24/2024,Medium
S1384,Ahmed,Jones,Business,90.85,9/24/2024,Medium
S1385,Liam,Brown,CS,55.53,9/24/2024,Medium
S1386,John,Brown,Business,91.47,9/24/2024,High
S1387,Omar,Smith,Business,80.14,9/24/2024,Medium
S1388,Ali,Williams,Engineering,59.35,9/24/2024,Medium
S1389,Ali,Davis,Mathematics,77.1,9/24/2024,Medium
S1390,John,Smith,CS,64.12,9/25/2024,Medium
S1392,Liam,Davis,Business,67.58,9/25/2024,Medium
S1393,Liam,Williams,CS,53.17,9/25/2024,Medium
S1394,John,Johnson,Engineering,99.3,9/25/2024,High
S1395,Maria,Jones,CS,51.58,9/25/2024,High
S1396,Liam,Johnson,Engineering,83.12,9/25/2024,Medium
S1397,Emma,Jones,Business,68.56,9/25/2024,Medium
S1398,Liam,Davis,Mathematics,82.3,9/25/2024,Medium
S1399,Ali,Jones,Engineering,67.81,9/25/2024,Medium
S1400,Liam,Davis,Engineering,83.69,9/25/2024,High
S1401,Maria,Davis,CS,86.46,9/25/2024,High
S1402,John,Davis,Business,84.53,9/25/2024,High
S1403,Ali,Davis,Mathematics,55.7,9/25/2024,Medium
S1405,Maria,Johnson,CS,64,9/26/2024,Medium
S1406,Emma,Davis,Mathematics,51.44,9/26/2024,Medium
S1407,Liam,Johnson,Business,70.74,9/26/2024,High
S1408,Maria,Davis,Mathematics,71.68,9/26/2024,Medium
S1410,John,Davis,CS,85.24,9/26/2024,Medium
S1411,Liam,Williams,Engineering,65.44,9/26/2024,Medium
S1412,Emma,Davis,Mathematics,65.76,9/26/2024,Medium
S1413,Ali,Davis,Mathematics,53.03,9/26/2024,Medium
S1414,John,Jones,Mathematics,84.34,9/26/2024,High
S1416,Ahmed,Jones,Business,67.47,9/26/2024,High
S1417,Sara,Williams,CS,85.26,9/26/2024,High
S1419,Emma,Smith,CS,73.46,9/26/2024,Medium
S1420,Sara,Smith,CS,75.57,9/26/2024,Medium
S1421,Sara,Williams,CS,81.82,9/26/2024,Medium
S1422,Emma,Jones,Engineering,83,9/27/2024,High
S1423,John,Johnson,Mathematics,64.45,9/27/2024,High
S1424,Liam,Williams,Business,57.04,9/27/2024,Medium
S1425,Ahmed,Brown,Business,57.83,9/27/2024,Medium
S1426,Ali,Brown,Engineering,81.97,9/27/2024,Medium
S1428,Ali,Smith,Mathematics,70.47,9/27/2024,Medium
S1431,Emma,Brown,Mathematics,91.62,9/27/2024,Medium
S1432,Ahmed,Williams,Business,94.03,9/27/2024,Medium
S1436,Liam,Brown,Engineering,55.36,9/27/2024,High
S1437,Liam,Williams,Business,54.63,9/27/2024,High
S1438,Omar,Jones,Business,85.63,9/27/2024,High
S1439,John,Smith,CS,53.48,9/27/2024,Medium
S1440,Ali,Johnson,Engineering,74.82,9/27/2024,Medium
S1441,Liam,Williams,Mathematics,73.64,9/28/2024,Medium
S1443,Liam,Davis,Business,93.52,9/28/2024,Medium
S1444,Maria,Johnson,CS,58.52,9/28/2024,High
S1445,John,Johnson,Business,67.62,9/28/2024,High
S1446,John,Davis,CS,88.71,9/28/2024,Medium
S1447,Emma,Brown,Mathematics,51.52,9/28/2024,High
S1448,Omar,Brown,Business,83.65,9/28/2024,Medium
S1450,Emma,Jones,CS,96.61,9/28/2024,Medium
S1453,Emma,Johnson,Engineering,79.32,9/28/2024,Medium
S1454,Ahmed,Smith,Mathematics,53.86,9/28/2024,Medium
S1455,John,Williams,Business,62.89,9/28/2024,Medium
S1457,Liam,Jones,CS,65.76,9/28/2024,Medium
S1458,John,Johnson,CS,93.76,9/28/2024,High
S1462,Emma,Davis,Mathematics,72.95,9/29/2024,Medium
S1463,Ali,Brown,Mathematics,98.48,9/29/2024,High
S1464,Maria,Davis,Mathematics,64.81,9/29/2024,Medium
S1466,Liam,Williams,Engineering,71,9/29/2024,Medium
S1468,Ahmed,Williams,Engineering,74.47,9/29/2024,Medium
S1469,Maria,Brown,CS,90.67,9/29/2024,Medium
S1470,Ahmed,Johnson,Business,54.94,9/29/2024,High
S1471,Liam,Davis,CS,53.48,9/29/2024,High
S1472,John,Jones,Mathematics,57.68,9/29/2024,Medium
S1473,Maria,Davis,Business,88.22,9/29/2024,Medium
S1475,Liam,Smith,Mathematics,78.25,9/29/2024,High
S1476,Ali,Jones,CS,73.41,9/29/2024,Medium
S1477,Liam,Johnson,Mathematics,94.42,9/29/2024,Medium
S1478,Ali,Brown,CS,88.33,9/30/2024,Medium
S1479,Maria,Jones,Mathematics,90.6,9/30/2024,Medium
S1480,Maria,Brown,Engineering,90.66,9/30/2024,Medium
S1481,Emma,Brown,Business,82.14,9/30/2024,High
S1482,Ahmed,Johnson,CS,72.9,9/30/2024,Medium
S1483,Emma,Williams,CS,93.23,9/30/2024,High
S1484,Ahmed,Jones,Business,96.3,9/30/2024,Medium
S1485,Emma,Johnson,CS,51.19,9/30/2024,High
S1486,John,Brown,Business,52.58,9/30/2024,High
S1487,Maria,Johnson,Engineering,97.94,9/30/2024,High
S1488,Ali,Williams,Mathematics,63.86,9/30/2024,High
S1490,Liam,Jones,Mathematics,69.44,9/30/2024,High
S1492,Ali,Smith,Engineering,54.02,9/30/2024,High
S1493,Emma,Jones,Mathematics,57.83,10/1/2024,Medium
S1494,Ahmed,Williams,Business,62.49,10/1/2024,High
S1495,Omar,Brown,Mathematics,74.43,10/1/2024,Medium
S1496,John,Jones,CS,85.07,10/1/2024,Medium
S1497,Maria,Jones,CS,99.32,10/1/2024,High
S1498,Ali,Johnson,Business,72.08,10/1/2024,Medium
S1499,Maria,Brown,Mathematics,75.91,10/1/2024,Medium
S1500,Omar,Smith,CS,76.09,10/1/2024,Medium
S1501,Ahmed,Davis,Engineering,76.97,10/1/2024,Medium
S1502,Ahmed,Williams,Mathematics,75.89,10/1/2024,Medium
S1503,Liam,Johnson,Mathematics,50.44,10/1/2024,High
S1504,Omar,Williams,CS,50.09,10/1/2024,Medium
S1508,Liam,Smith,Engineering,60.25,10/1/2024,Medium
S1509,Sara,Williams,CS,94.74,10/2/2024,Medium
S1511,Sara,Brown,CS,98.79,10/2/2024,High
S1512,Omar,Jones,Business,96.95,10/2/2024,High
S1513,Emma,Davis,Mathematics,63.59,10/2/2024,Medium
S1514,Sara,Williams,Mathematics,75.49,10/2/2024,High
S1515,John,Williams,Business,58.77,10/2/2024,Medium
S1516,Liam,Smith,Engineering,90.31,10/2/2024,Medium
S1517,Emma,Williams,CS,94.42,10/2/2024,Medium
S1518,Liam,Johnson,Business,92.56,10/2/2024,High
S1519,Sara,Davis,Mathematics,71.67,10/2/2024,Medium
S1520,Liam,Smith,Business,87.93,10/2/2024,High
S1523,Omar,Brown,Engineering,87.66,10/2/2024,Medium
S1524,Sara,Jones,Mathematics,71.27,10/2/2024,Medium
S1525,Omar,Brown,Business,99.78,10/2/2024,High
S1526,John,Jones,Engineering,54.86,10/3/2024,Medium
S1528,Sara,Johnson,CS,74,10/3/2024,Medium
S1529,Sara,Brown,Mathematics,91.36,10/3/2024,Medium
S1530,Ali,Smith,CS,90.86,10/3/2024,High
S1531,Liam,Johnson,Engineering,95.8,10/3/2024,High
S1532,Ali,Smith,CS,64.89,10/3/2024,High
S1534,John,Johnson,Business,57.58,10/3/2024,Medium
S1535,Emma,Jones,CS,54.1,10/3/2024,Medium
S1536,Liam,Brown,Engineering,71.58,10/3/2024,High
S1539,Sara,Williams,Business,91.46,10/3/2024,Medium
S1540,Omar,Williams,Engineering,86.48,10/3/2024,Medium
S1541,Sara,Smith,CS,60.47,10/3/2024,Medium
S1542,John,Smith,Mathematics,97.44,10/3/2024,High
S1543,Sara,Jones,Engineering,53.04,10/4/2024,Medium
S1544,Ali,Johnson,CS,94.91,10/4/2024,Medium
S1545,Liam,Smith,Business,65.22,10/4/2024,Medium
S1547,Maria,Davis,Engineering,71.12,10/4/2024,Medium
S1548,Sara,Johnson,Engineering,58.59,10/4/2024,Medium
S1550,Ali,Smith,Mathematics,59.65,10/4/2024,Medium
S1551,Maria,Jones,CS,60.19,10/4/2024,Medium
S1552,Ahmed,Brown,CS,59.35,10/4/2024,Medium
S1553,Maria,Jones,CS,74.45,10/4/2024,Medium
S1555,Liam,Williams,Mathematics,78.45,10/4/2024,Medium
S1556,Liam,Jones,Mathematics,94.66,10/4/2024,Medium
S1560,Maria,Williams,Engineering,72.47,10/4/2024,High
S1561,John,Williams,Engineering,84.47,10/4/2024,Medium
S1562,Omar,Jones,Mathematics,53.49,10/5/2024,High
S1563,Omar,Brown,Engineering,92.99,10/5/2024,Medium
S1564,Maria,Johnson,Engineering,88.89,10/5/2024,High
S1565,Sara,Jones,Engineering,62.26,10/5/2024,Medium
S1567,Liam,Davis,Engineering,50.63,10/5/2024,Medium
S1568,Omar,Brown,CS,60.86,10/5/2024,High
